,,,,,,,,,,
Test Identifier,Test Summary,Test Description,Precondition,Test Steps,Expected Result,Actual Results,UI / API,Status ,Tester,Defect ID
API_PUT_PLT_ADM_004,,Verify that admin updating a plant with incorrect id fails,"- Admin token is available
- Plant with id=99 does not exist","1. Prepare a PUT request to /api/plants/99 with the following body
{
  ""name"": ""Anthurium"",
  ""price"": 150,
  ""quantity"": 25
}

2. Set Authorization header with admin token
3. Send PUT request
4. Capture response and compare with Swagger specification
5. Confirm no plant created via GET /api/plants/99","1. Response code is 404 (Not Found)

2. Response body should be as follows:
{
  ""status"": 404,
  ""error"": ""string"",
  ""message"": ""string"",
  ""timestamp"": ""2026-05-20T23:56:56.017Z""
}

3. A plant with id=99 should not have been created in the database","Status code 404 with following response body:

{
  ""status"": 404,
  ""error"": ""NOT_FOUND"",
  ""message"": ""Plant not found"",
  ""timestamp"": ""2026-06-12T01:14:39.6587387""
}",API,Passed,215565L,
API_DEL_PLT_ADM_005,,Verify that admin deleting a plant with correct id succeeds,"- Admin token is available
- Plant with id=6 exists","1. Prepare a DELETE request to /api/plants/6 where 6 is the plant id
2. Set Authorization header with admin token
3. Send DELETE request
4. Capture and match response with Swagger UI
5. Confirm via GET /api/plants/6
","1. API should return status code 204 (No content)
2. Response body should be empty
3. Subsequent GET requests to /api/plants/6 should return 404 (Not Found)
4. Plant with id=6 should be permanently deleted from the database",Status code 204 with no content and empty response body. Plant is deleted from the database and subsequent requests to plant with same id returns 404.,API,Passed,215565L,
API_PUT_PLT_USR_001,,Verify that a non-admin user can't update a plant,"- User token is available
- Plant with id=5 exist
- Plant with id=5 name=""SpecialAloe""
- Plant with id=5 price=150
- Plant with id=5 quantity=25","1. Prepare a PUT request to /api/plants/5 with the request body as follows
{
  ""name"": ""UpdatedPlant"",
  ""price"": 100,
  ""quantity"": 30
}

2. Set Authorization header with user token
3. Send PUT request
4. Capture and match the response with Error response in Swagger UI 
5. Ensure plant is not updated via GET /api/plant/5","1. API should return status code 403 (Forbidden)
2. Response body should be similar to
{
  ""status"": 403,
  ""error"": ""string"",
  ""message"": ""string"",
  ""timestamp"": ""2026-05-21T07:11:03.626Z""
}
3. Subsequent GET requests to /api/plants/5 should return the unmodified plant","403 returned with following body:

{
  ""timestamp"": ""2026-06-11T19:54:08.392+00:00"",
  ""status"": 403,
  ""error"": ""Forbidden"",
  ""path"": ""/api/plants/5""
}

and plant is unmodified",API,Passed,215565L,
API_DEL_PLT_USR_002,,Verify that a non-admin user can't delete a plant,"- User token is available
- Plant with id=5 exist
- Plant with id=5 does not have any sale","1. Prepare a DELETE request to /api/plants/5
2. Set Authorization header with user token
3. Send DELETE request
4. Capture and match the response with error response in Swagger UI 
5. Ensure plant is not deleted via GET /api/plant/5","1. API should return status code 403 (Forbidden)
2. Response body should be similar to
{
  ""status"": 403,
  ""error"": ""string"",
  ""message"": ""string"",
  ""timestamp"": ""2026-05-21T07:15:17.958Z""
}
3. Subsequent GET requests to /api/plants/5 should return the plant","403 returned with following body:

{
  ""timestamp"": ""2026-06-11T19:55:01.430+00:00"",
  ""status"": 403,
  ""error"": ""Forbidden"",
  ""path"": ""/api/plants/5""
}

Plant is not deleted",API,Passed,215565L,
API_GET_PLT_USR_003,,Verify that a non-admin user can see all sales,"- User token is available
- At least one plant is in the database","1. Prepare a GET request to /api/sales
2. Set Authorization header with user token
3. Send the GET request
4. Capture and match the response with the example response in Swagger UI","1. API should return status code 200 (OK)
2. Response body should be an array of 
{
  ""id"": 0,
  ""name"": ""Anthurium"",
  ""price"": 150,
  ""quantity"": 25,
  ""category"": {
    ""id"": 0,
    ""name"": ""Anthurium"",
    ""parent"": ""string"",
    ""subCategories"": [
      ""string""
    ]
  }
}","200 OK returned with Sales list in the correct format: 

[
  {
    ""id"": 40,
    ""plant"": {
      ""id"": 5,
      ""name"": ""SpecialAloe"",
      ""price"": 150,
      ""quantity"": 0,
      ""category"": {
        ""id"": 5,
        ""name"": ""SpiderAloe"",
        ""subCategories"": []
      }
    },
    ""quantity"": 1,
    ""totalPrice"": 150,
    ""soldAt"": ""2026-06-11T23:00:06.058721""
  },
  {
    ""id"": 41,
    ""plant"": {
      ""id"": 9,
      ""name"": ""Anthurium"",
      ""price"": 150,
      ""quantity"": 12,
      ""category"": {
        ""id"": 2,
        ""name"": ""BushABC"",
        ""subCategories"": []
      }
    },
    ""quantity"": 1,
    ""totalPrice"": 150,
    ""soldAt"": ""2026-06-11T23:00:11.038215""
  }
]",API,Passed,215565L,
API_GET_SLS_USR_001,,Verify that a non-admin user can get a sale by id,"- User token is available
- Sale with id=6 is available","1. Prepare a GET request to /api/sales/6
2. Set Authorization header with user token
3. Send GET request
4. Capture and compare the response with example in Swagger UI","1. API should return status code 200 (OK)
2. Response body should be as follows
{
  ""id"": 6,
  ""plant"": {
    ""id"": 0,
    ""name"": ""Anthurium"",
    ""price"": 150,
    ""quantity"": 25,
    ""category"": {
      ""id"": 0,
      ""name"": ""Anthurium"",
      ""parent"": ""string"",
      ""subCategories"": [
        ""string""
      ]
    }
  },
  ""quantity"": 2,
  ""totalPrice"": 10,
  ""soldAt"": ""2026-05-21T07:26:03.386Z""
}","200 OK returned with the sale details in body:

{
  ""id"": 40,
  ""plant"": {
    ""id"": 5,
    ""name"": ""SpecialAloe"",
    ""price"": 150,
    ""quantity"": 0,
    ""category"": {
      ""id"": 5,
      ""name"": ""SpiderAloe"",
      ""subCategories"": []
    }
  },
  ""quantity"": 1,
  ""totalPrice"": 150,
  ""soldAt"": ""2026-06-11T23:00:06.058721""
}",API,Passed,215565L,
API_POST_SLS_USR_002,,Verify that a user cannot create a sale,"- User token is available
- Plant with id=5 entry is in database
- Plant with id=5 have quantity>=10","1. Prepare a POST request to /api/sales/plant/5 with the query parameter quantity=10. Then the full URL becomes /api/sales/plant/5?quantity=10
2. Set Authorization header with user token
3. Send the POST request
4. Capture and compare response with example in Swagger UI
5. Ensure plant quantity is not deducted Verify via GET /api/plants/5 and Verify it with previous response
6. Ensure new sales record is not made Verify via GET /api/sales and Verify there is no new entry","1. API should return the status code 403 (Forbidden)
2. Error response body should be as follows
{
  ""status"": 403,
  ""error"": ""string"",
  ""message"": ""string"",
  ""timestamp"": ""2026-05-21T07:41:46.660Z""
}
","Non admin user can create a sale with following response is returned:

{
  ""id"": 42,
  ""plant"": {
    ""id"": 5,
    ""name"": ""SpecialAloe"",
    ""price"": 150,
    ""quantity"": 90,
    ""category"": {
      ""id"": 5,
      ""name"": ""SpiderAloe"",
      ""subCategories"": []
    }
  },
  ""quantity"": 10,
  ""totalPrice"": 1500,
  ""soldAt"": ""2026-06-12T01:31:08.6644891""
}",API,Failed,215565L,BUG-009
API_POST_PLT_ADM_006,,Verify that the backend accepts the exact Swagger-documented example body when creating a plant,"- Admin token is available
- Category with id=5 exists
","1. Prepare a POST request to /api/plants/category/5 with the FULL Swagger example body exactly as shown in the Swagger UI example:
{
  """"id"""": 0,
  """"name"""": """"<unique-name>"""",
  """"price"""": 150,
  """"quantity"""": 25,
  """"category"""": {
    """"id"""": 0,
    """"name"""": """"Anthurium"""",
    """"parent"""": """"string"""",
    """"subCategories"""": [""""string""""]
  }
}

2. Set Authorization header with admin token
3. Send the POST request
4. Capture and compare response with Swagger UI","1. API response status code must be 201 (Created)
2. The backend must honour its own published API contract
3. Optional fields (id, category) must be silently ignored by the backend
4. The Swagger spec is the single source of truth; the example shown IS the contract","1. API returned HTTP status code 500 (Internal Server Error)
2. Backend crashed on its own Swagger-documented optional fields
3. Defect: backend violates its own published API contract by rejecting a body it itself documents as valid",API,Failed,215565L,BUG-007
API_POST_PLT_ADM_007,,Verify that when optional Swagger fields are included  when creating a plant the backend returns 4xx not 5xx ,"- Admin token is available
- Category with id=5 exists","1. Prepare a POST request to /api/plants/category/5 with the FULL Swagger example body including optional fields (id and nested category)
2. Set Authorization header with admin token
3. Send the POST request
4. Capture and check response status code","1. API response status code must NOT be 500 (Internal Server Error)
2. If the backend cannot handle the optional fields, it must return 400 (Bad Request) with a clear validation message
3. A 500 is a server-side crash; client input — even if unexpected — must never cause the server to crash
4. This is an independent requirement from TC API_POST_PLT_ADM_006: even if the backend intentionally rejects the optional fields, the error code must be 4xx","1. API returned HTTP status code 500 (Internal Server Error)
2. The server crashed instead of returning a clean client error (4xx)
3. Defect: backend must never return 5xx for client-supplied input regardless of validity",API,Failed,215565L,BUG-008
,,,,,,,,,,
UI_SLS_ADM_001,,"Admin sells a plant successfully by selecting a plant from the dropdown, entering a valid quantity and clicking the Sell button. On successful sale stock is reduced and user is redirected to sales list","- Admin is logged in using correct username and password (admin/admin123)  
- Admin is on Dashboard page
- At least one plant with stock > 0  exists","1. Navigate to Sell Plant Page (/ui/sales/new)
2. Check whether the Sell Plant form is displayed
3. Select the first plant from the dropdown 
4. Enter quantity ""2"" in the quantity field
5. Click the ""Sell"" button","1. The system should redirect the admin to the sales list page (/ui/sales)
2. A new sale record should be visible in the sales table
3. The sale record should show the correct plant name, quantity and total price
4. The plant stock should be reduced by the sold quantity","1. Admin was redirected to the sales list page (/ui/sales) successfully
2. The new sale record was visible in the sales table
3. The sale record showed correct plant nam, quantity and total price 
4. The plant stock was reduced",UI,Passed,215552U,
UI_SLS_ADM_002,,Selling a plant with quantity zero shows an error message. Quantity must be greater than 0. Zero is the exact boundary value that must be rejected,"- Admin is logged in (admin/admin123)
- At least one plant exist in the system
- Admin is on Sell Plant page (ui/sales/new)","1. Select the first plant from the dropdown
2. Enter quantity ""0""in the quantity field 
3. Click the ""Sell"" button
4. Observe the error messege displayed","1. The system should display an error messege ""Quantity must be greater than 0""
2. The error messege should be clearly visible to the admin
3. The sale should not be created 
4. The admin should remain on the Sell Plant page","1. The system displayed the error message ""Quantity must be greater than 0""
2. The error message was clearly visible to the admin
3. No sale was created
4. The admin remained on the Sell Plant page
5. -1, blank, and ""abc"" values were also correctly rejected",UI,Passed,215552U,
UI_SLS_ADM_003,,Admin deletes a sale record by clicking the Delete button and confirming the deletion prompt. Delete requires a confirmation prompt before removing the record,"- Admin is logged in (admin/admin123)
- At least one sale record exists in the system 
- Admin is on Sales List page (/ui/sales)","1. Navigate to /ui/sales
2. Observes the sales table and note the first sale record 
3. Click the ""Delete"" button on the first sale row
4. Observe the confirmation prompt/dialog
5. Click ""Confirm"" to accept the deletion","1. A confirmation prompt/dialog should appear asking the admin to confirm deletion
2. After confirming, the deleted sale should no longer appear in the sales list
3. No error messages should appear
4. The sales list should be refreshed with the updated records","1. A confirmation prompt appeared asking the admin to confirm deletion
2. After confirming, the deleted sale was removed from the sales list
3. No error messages appeared
4. The sales list was refreshed with the updated records",UI,Passed,215552U,
UI_SLS_ADM_004,,Sales list should be sorted by sold date descending by default so the most recent sale appears first,"- Admin is logged in (admin/admin123)
- At least 2 sales with different dates exist in the system
- Admin is on Dashboard page ","1. Navigate to /ui/sales
2. Observe the sales table
3. Check the date column of the first row
4. Check the date column of the second row
5. Compare the two dates","1. The sales list page should load successfully
2. The most recent sale should appear first in the table
3. The date in row 1 should be greater than or equal to the date in row 2 (descending order)
4. All records should follow the descending date order","1. The sales list page loaded successfully
2. The most recent sale appeared first in the table
3. The date in row 1 was greater than the date in row 2 (descending order)
4. All records followed the descending date order",UI,Passed,215552U,
UI_SLS_ADM_005,,Clicking the Cancel button on the Sell Plant page should navigate back to the sales list without creating a sale,"- Admin is logged in (admin/admin123)
- Admin is on Sell Plant page (/ui/sales/new)","1. Navigate to /ui/sales/new
2. Observe the Sell Plant form is displayed
3. Enter category name: ""TestCancel""
4. Click ""Cancel"" button
5. Observe navigation
6. Check sales list","1. The admin should be redirected to /ui/sales page
2. No sale named ""TestCancel"" should exist in the sales list
3. No changes should be saved to the database
4. No error messages should appear","1. The admin was redirected to /ui/sales page
2. No new sale was created in the sales list
3. No changes were saved to the database
4. No error messages appeared",UI,Passed,215552U,
UI_CAT_USR_004,,"If someone visits a protected page (/ui/categories) without logging in, they must be redirected to the login page","- User is not logged in 
- Browser cookies are cleared","1. Open a new browser session
2. Clear all cookies and session data
3. Navigate directly to http://localhost:8000/ui/categories
4. Observe the page redirection","1. The user should be automatically redirected to the login page (/ui/login)
2. The categories page should not be accessible
3. No category data should be visible
4. The login form should be displayed","1. The user was automatically redirected to the login page (/ui/login)
2. The categories page was not accessible
3. No category data was visible
4. The login form was displayed",UI,Passed,215552U,
@UI_PLT_USR_009,,"If someone visits a protected page (/ui/plants) without logging in, they must be redirected to the login page","- User is not logged in 
- Browser cookies are cleared","1. Open a new browser session
2. Clear all cookies and session data
3. Navigate directly to http://localhost:8000/ui/plants
4. Observe the page redirection","1. The user should be automatically redirected to the login page (/ui/login)
2. The plants page should not be accessible
3. No plant data should be visible
4. The login form should be displayed","1. The user was automatically redirected to the login page (/ui/login)
2. The plants page was not accessible
3. No plant data was visible
4. The login form was displayed",UI,Passed,215552U,
UI_SLS_USR_001,,"If someone visits a protected page (/ui/sales) without logging in, they must be redirected to the login page","- User is not logged in 
- Browser cookies are cleared","1. Open a new browser session
2. Clear all cookies and session data
3. Navigate directly to http://localhost:8000/ui/sales
4. Observe the page redirection","1. The user should be automatically redirected to the login page (/ui/login)
2. The sales page should not be accessible
3. No sales data should be visible
4. The login form should be displayed","1. The user was automatically redirected to the login page (/ui/login)
2. The sales page was not accessible
3. No sales data was visible
4. The login form was displayed",UI,Passed,215552U,
UI_AUTH_USR_005,,User logs out and the session is ended. Logout displays a success message and the user is redirected to login,"- User is logged in using correct username and password (testuser/test123)
- User is on any page of the application","1. Locate the ""Logout"" button
2. Click the ""Logout"" button
3. Observe the message displayed
4. Observe the page navigation","1. A logout success message should be displayed (e.g. ""You have been logged out successfully."")
2. The message should be clearly visible to the user
3. The admin should be redirected to the login page (/ui/login)
4. The session should be terminated and protected pages should no longer be accessible","1. A logout success message ""You have been logged out successfully"" was displayed
2. The message was clearly visible to the user
3. The user was redirected to the login page (/ui/login)
4. The session was terminated and attempting to access /ui/sales redirected back to login",UI,Passed,215552U,
UI_PLT_USR_010,,User can sort the plant list by clicking the Price column header. Verify the order changes,"- User  is logged in using correct username and password (testuser/test123)
- At least two plants with different prices exist in the system
- User is on plants page (/ui/plants)","1. Navigate to /ui/plants
2. Observe the plant list table
3. Note the current order of plants
4. Click the ""Price"" column header to sort
5. Observe the reordered list","1. The plant list should be reordered by price
2. The order should change from the default view
3. Plants should be sorted in ascending or descending price order
4. Clicking the header again should toggle the sort direction","1. The plant list was reordered by price after clicking the Price column header
2. The order changed from the default view
3. First click sorted plants in ascending price order (low to high)
4. Second click sorted plants in descending price order (high to low)",UI,Passed,215552U,
API_POST_SLS_ADM_001,,Admin creates a sale via POST /api/sales/plant/{plantId}?quantity=2 and verifies that the plant stock is reduced by the sold quantity,"- Admin token is available
- A plant with at least 10 units in stock exists","1. Authenticate as Admin (admin/admin123) and capture token
2. Create a category and a plant with quantity 10 via POST /api/categories and POST /api/plants/category/{categoryId}
3. Send POST /api/sales/plant/{plantId}?quantity=2 with Authorization header
4. Capture the response and verify status code
5. Re-fetch plant via GET /api/plants/{plantId} and verify quantity = 8","1. The API should return HTTP status code 201 (Created) for the sale
2. The response should contain the sale details with correct plant and quantity
3. The plant stock should be reduced from 10 to 8
4. GET /api/plants/{plantId} should confirm the updated quantity","1. The API returned HTTP status code 201 (Created) for the sale
2. The response contained sale details with correct plant and quantity 
3. The plant stock was reduced 
4. GET /api/plants/{id} confirmed the updated quantity",API,Passed,215552U,
API_POST_SLS_ADM_002,,Attempting to sell 999 units of a plant that only has 5 in stock should return an error,"- Admin token is available
- A plant with quantity = 5 exists in the system","1. Authenticate as Admin and capture token
2. Create a plant with quantity = 5
3. Send POST /api/sales/plant/{plantId}?quantity=999 with Authorization header
4. Capture the response and verify status code","1. The API should return HTTP status code 400 or 422
2. The response should contain an error message indicating insufficient stock
3. The sale should not be created in the database
4. The plant stock should remain unchanged at 5","1. The API returned HTTP status code 400 (Bad Request)
2. The response contained error message: ""White Rose has only 3 items available in stock""
3. The sale was not created in the database
4. The plant stock remained unchanged",API,Passed,215552U,
API_POST_SLS_ADM_003,,Creating a sale with quantity zero should be rejected. Quantity must be greater than 0. Tests the exact boundary at 0,"- Admin token is available
- A plant with stock exists in the system","1. Authenticate as Admin and capture token
2. Create a plant with stock
3. Send POST /api/sales/plant/{plantId}?quantity=0 with Authorization header
4. Capture the response and verify status code","1. The API should return HTTP status code 400 (Bad Request)
2. The response should contain an error message indicating quantity must be greater than 0
3. No sale should be created in the database
4. The plant stock should remain unchanged","1. The API returned HTTP status code 400 (Bad Request)
2. The response contained the error message about insufficient stock
3. No sale was created in the database
4. Swagger also validated: ""Value must be greater than 1"" preventing submission of 0 or -1",API,Passed,215552U,
API_DEL_SLS_ADM_004,,Admin deletes a sale via DELETE /api/sales/{saleId} and receives a success response,"- Admin token is available
- At least one sale exists in the system
- Sale ID is known","1. Authenticate as Admin and capture token
2. Create a plant and a sale via API to obtain a sale ID
3. Send DELETE /api/sales/{saleId} with Authorization header
4. Capture the response and verify status code","1. The API should return HTTP status code 204 (No Content)
2. The sale should be deleted from the database
3. Subsequent GET /api/sales should not contain the deleted sale
4. No error messages should appear","1. The API returned HTTP status code 204 (No Content)
2. The sale was deleted from the database
3. Subsequent GET /api/sales/{id} returned 404 (Not Found) confirming deletion
4. No error messages appeared",API,Passed,215552U,
API_GET_SLS_ADM_005,,"Admin can retrieve the sales list with sorting query parameter via GET /api/sales/page?sort=soldAt,desc","- Admin token is available
- At least two sales exist in the system
- API is accessible","1. Authenticate as Admin and capture token
2. Send GET /api/sales/page?sort=soldAt,desc with Authorization header
3. Capture the response and verify status code
4. Check the response body structure and content","1. The API should return HTTP status code 200 (OK)
2. The response should be a JSON object containing a list of sales
3. The sales should be sorted by sold date in descending order
4. The response structure should include pagination details (content, totalElements, etc.)","1. The API returned HTTP status code 200 (OK)
2. The response contained a JSON object with content array of sales
3. The sales were sorted by soldAt in descending order 
4. The response included pagination details: totalElements=3, totalPages=1, pageSize=10",API,Passed,215552U,
API_DEL_SLS_USR_001,,User token on DELETE /api/sales/{id} must return 403 Forbidden. Users with the user role are not allowed to delete sales,"- User token is available (testuser/test123)
- At least one sale exists in the system
- API is accessible","1. Authenticate as user (testuser/test123) and capture token
2. Send DELETE /api/sales/1 with user Authorization header
3. Capture the response and verify status code
4. Observe the rejection and verify sale still exists","1. The API should return HTTP status code 403 (Forbidden)
2. The response data structure and fields should be correct as per API specification:
{""status"": 403, ""error"": ""Forbidden"", ""message"": ""Access Denied""}
3. The sale should not be deleted from the database","1. The API returned HTTP status code 204 (No Content) instead of 403 (Forbidden)
2. No access denied error was returned, the request was processed successfully
3. The sale was actually deleted from the database ",API,Failed,215552U,
API_GET_AUTH_USR_001,,Calling a protected endpoint with no Authorization header must return 401 Unauthorized,"- No authentication token is used
- API is accessible","1. Prepare GET request to /api/categories with no Authorization header
2. Send the GET request
3. Capture the response and verify status code
4. Verify no category data is returned","1. The API should return HTTP status code 401 (Unauthorized)
2. The response should indicate that authentication is required
3. No category data should be returned
4. The endpoint should be protected and require a valid Bearer token","1. The API returned HTTP status code 401 (Unauthorized)
2. The response indicated that authentication is required
3. No category data was returned
4. The endpoint was protected and required a valid Bearer token",API,Passed,215552U,
API_GET_PLT_USR_004,,Test the category filter endpoint. Confirm only plants from that category are returned via GET /api/plants/category/{categoryId},"- User token is available (testuser/test123)
- At least one category with plants exists in the system","1. Authenticate as user (testuser/test123) and capture token
2. Get a known category ID via GET /api/categories
3. Send GET /api/plants/category/{knownCategoryId} with Authorization header
4. Capture the response and verify all returned plants belong to that category","1. The API should return HTTP status code 200 (OK)
2. The response should contain only plants belonging to the specified category
3. Each plant object should have the correct categoryId matching the filter
4. Non-matching plants should be excluded from results","1. The API returned HTTP status code 200 (OK)
2. The response contained only plants belonging to the specific category 
3. Correct category information were returned.
4. Plants from other categories were excluded from results",API,Passed,215552U,
API_GET_CAT_USR_002,,Test pagination on categories endpoint via GET /api/categories/page?page=0&size=5. Confirm the page size is respected,"- User token is available (testuser/test123)
- Multiple categories exist in the system (more than 5)","1. Authenticate as user (testuser/test123) and capture token
2. Send GET /api/categories/page?page=0&size=5 with Authorization header
3. Capture the response and verify status code
4. Check the number of items returned is at most 5","1. The API should return HTTP status code 200 (OK)
2. The response should contain at most 5 categories in the content array
3. The response should include pagination metadata (totalElements, totalPages, size, number)
4. The page size should be respected as per the query parameter","1. The API returned HTTP status code 200 (OK)
2. The response contained at most 5 categories in the content array
3. The response included pagination metadata (totalElements, totalPages, size, number)
4. The page size was respected as per the query parameter",API,Passed,215552U,
API_GET_PLT_USR_005,,"A user should be able to retrieve the plant list sorted by price via GET /api/plants/page?sort=price,asc. Verify the response returns plants ordered by price","- User token is available (testuser/test123)
- At least two plants with different prices exist in the system","1. Authenticate as user (testuser/test123) and capture token
2. Send GET /api/plants/page?sort=price,asc with Authorization header
3. Capture the response and verify status code
4. Check that the plants in the response are ordered by price ascending","1. The API should return HTTP status code 200 (OK)
2. The response should contain a list of plants in the content array
3. The plants should be sorted by price in ascending order
4. Each subsequent plant price should be greater than or equal to the previous one","1. The API returned HTTP status code 200 (OK)
2. The response contained plants in the content array
3. The plants were sorted by price in ascending order
4. Each subsequent plant price was greater than the previous one",API,Passed,215552U,
